"Código","Concurso","Área ","Título","Director General"
"ID16I10114","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","SISTEMA DE DRONES COLABORATIVOS Y VISIÓN MULTIMODAL PARA EL MONITOREO AUTOMATIZADO DE INCENDIOS FORE STALES","MARCOS ZUÑIGA BARRAZA"
"ID16I10119","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","METODOLOGÍAS INNOVADORAS PARA LA FORMACIÓN INICIAL DE PROFESORES DE EDUCACIÓN BÁSICA EN MATEMÁTICA: MODELO BASADO EN PRÁCTICAS EFECTIVAS DE AULA Y TECNOLOGÍAS DE LA INFORMACIÓN","SALOME MARTINEZ SALAZAR"
"ID16I10122","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","DISEÑO DE UNA PLATAFORMA PARA LA IMPLEMENTACIÓN DE CONVENIOS MARCO COMPETITIVOS","MARCELO OLIVRES ACUÑA"
"ID16I10128","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","MODELO DE EVALUACIÓN DE IMPACTO REGIONAL (MEIR-ECOGEM) DE POLÍTICAS PÚBLICAS E INVERSIONES SECTORIAL ES EN LOS ÁMBITOS ECONÓMICO, SOCIAL Y AMBIENTAL","RAUL ORYAN GALLARDO"
"ID16I10136","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","REDUCCIÓN SIGNIFICATIVA DEL USO DE AGUA EN PLANTAS DE PROCESAMIENTO DE MINERALES VÍA EL DISEÑO DE UN A NUEVA CELDA DE FLOTACIÓN BASADA EN TECNOLOGÍAS NO CONVENCIONALES DEL TIPO ""HIDROCICLÓN-MAGNÉTICO"".","GONZALO MONTES ATENAS"
"ID16I10140","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","FORMULACIÓN DE PROTEÍNAS QUIMÉRICAS COMO ESTRATEGIA PARA EL DESARROLLO DE UNA NUEVA VACUNA CONTRA ES CHERICHIA COLI PRODUCTOR DE SHIGA TOXINA (STEC)","ROBERTO VIDAL ALVAREZ"
"ID16I10141","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UNA VARIANTE MEJORADA DE LA PROTEÍNA MUTS PARA SU APLICACIÓN EN LA INDUSTRIA BIOTECNOL ÓGICA","FRANCISCO MELO LEDERMANN"
"ID16I10142","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO Y VALIDACIÓN INICIAL DE ESTUDIOS DE PERMEABILIDAD POR TÉCNICAS IN SITU E IN VITRO: APLICA CIÓN AL ESTUDIO DEL EFECTO DE EXCIPIENTES SOBRE LA ABSORCIÓN DE FÁRMACOS EN EL MARCO DE LAS BIOEXENC IONES","PABLO GONZALEZ CISTERNA"
"ID16I10145","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE UN PROTOTIPO DE ENSAYO DE INHIBICIÓN DE LA ENZIMA PROTEÍNA FOSFATASA 2A DE MYTILUS PAR A LA DETECCIÓN Y CUANTIFICACIÓN DE TOXINAS DIARREICAS EN MUESTRAS DE EXTRACTOS DE MARISCOS Y CONSERV AS.","EDIO MALDONADO MALDONADO"
"ID16I10148","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UNA VACUNA TERAPÉUTICA (THERMOVAX) CONTRA EL CÁNCER DE PIEL","MERCEDES LOPEZ NITSCHE"
